issue,option,Party_1,Party_2
Issue_1,on,-0.69,-0.77
Issue_1,off,0.0,0.0
Issue_10,on,-0.22,-0.91
Issue_10,off,0.0,0.0
Issue_2,on,-0.89,-0.64
Issue_2,off,0.0,0.0
Issue_3,on,-0.69,-0.93
Issue_3,off,0.0,0.0
Issue_4,on,0.96,0.32
Issue_4,off,0.0,0.0
Issue_5,on,-0.23,-0.88
Issue_5,off,0.0,0.0
Issue_6,on,-0.91,0.61
Issue_6,off,0.0,0.0
Issue_7,on,-0.15,-0.78
Issue_7,off,0.0,0.0
Issue_8,on,-0.67,0.36
Issue_8,off,0.0,0.0
Issue_9,on,-0.15,-0.81
Issue_9,off,0.0,0.0
reservation,N/A,0.0,0.0
target,N/A,2.0,2.0
