issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.28,-1.0,-0.64,-0.41,-0.23,-0.08
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,0.59,-0.44,-0.83,0.04,0.96,-0.2
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.49,0.55,0.23,-0.98,0.97,-0.02
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,-0.39,0.33,-0.43,-0.07,0.3,-0.76
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.07,0.47,0.92,-0.96,0.66,0.88
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,0.97,0.88,-0.74,0.77,-0.69,-0.28
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,-0.28,-0.44,-0.29,0.09,-0.84,-0.25
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,0.17,-0.73,-0.51,-0.37,-0.85,0.62
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
